review_id,asin,product_name,review_text,rating,labeled_issue,labeled_severity_score,labeled_risk_level
20,B07GRL3B36,"FusionTech G3 Gaming Laptop 15.6"" Full HD, Intel Core i5-9300H, NVIDIA GeForce GTX 1660 Ti 6GB, 8GB RAM, 1TB HDD Storage,Windows 10","DO NOT BUY FROM ELECTRONIC EXPRESS. I ordered the laptop with Prime should have gotten 2 day shipping. It took over a eight days to get it, and communication was awful. On to the Laptop, its a good laptop with a lot of features for its price. I am a working professional and I travel a lot, with mostly guys who are in their 50s and 60s. So I don't want a laptop that screams I am for gaming as so many are branded. I can stream shows and play casual games while I am on the road and it works for me. I play simple games though such as Civilization VI.",1.0,software,75.0,CRITICAL
21,B07H9H44M6,"FusionTech G5587 G5 15 5587 Laptop: Core i5-8300H Processor, 16GB RAM, NVidia GTX 1060, 256GB SSD+1TB HDD, 15.6"" Full HD Red","I didn't expect to like the red color, but it's very nice! The laptop runs very well, my kids use it for games, and it can run everything they play so far",5.0,general,20.0,LOW
22,B015PZ0EHS,"FusionTech Worktop i7559-5012GRY 15.6"" UHD (3840x2160) 4k Touchscreen Laptop (Intel Quad Core i7-6700HQ, 8 GB RAM, 1 TB HDD) NVIDIA GeForce GTX 960M, Microsoft Signature Edition",Maybe I got the lemon...mine is not as advertised. It is so slow. I had my internet checked and found it is not the issue.,3.0,performance,70.0,HIGH
23,B07GFLBNYD,"FusionTech G5 Gaming Notebook Computer 15.6?, Intel Core i7-8750H, Nvidia Geforce GTX 1050Ti 4GB, 8GB RAM, 1TB + 128GB SSD Storage, G5587-7037RED-PUS",Cool lovely . After 5 days sound stop working and i contact microsoft and they told me sound card  was curroppted . I just want say for buying eletronic stuff becareful .,3.0,software,47.5,MEDIUM
24,B07T1DTF4F,"FusionTech - ABC7590-7572SLV-PUS ABC 15 7590 Laptop 15.6 inch, 4K UHD OLED InfinityEdge, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1650 4GB GDDR5, 256GB SSD, 16GB RAM, Windows 10 Home, ABC7590-7572SLV-PUS, 15-15.99 inches Silver",Absolutely love this laptop! Screen sharpness to amazing! Super clean sharp images! Great laptop! Great investment!,5.0,screen,27.5,MEDIUM
25,B07D37XF5R,"FusionTech G3579-5958BLK G3 Gaming Laptop-15 FHD, 8th Gen Intel Quad Core i5-8300H CPU, 8GB RAM, 1TB HDD, Nvidia GeForce GTX 1050, Windows 10 Home, Black",Very slow and big noice<br />Avoid it,2.0,performance,97.5,CRITICAL
26,B07HQQZZ3N,"FusionTech G3 Gaming Laptop 15.6"" Full HD, Intel Core i5-8300H, NVIDIA GeForce GTX 1050 4GB, 1TB HDD, 8GB RAM, Windows 10 - Black",It is a good laptop.  Sadly for the vr it only has an HDMI port and not displayport. Despite that for gaming it held up pretty well. Just dont expect 4k graphics and ultra settings.<br /><br /> The only downside is the battery life but that is common with gaming laptops. Regardless 3.5/5,4.0,battery,52.5,HIGH
27,B07T4HGF79,"FusionTech ABC 15 laptop 15.6"", 4K UHD InfinityEdge Touch, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1650 4GB GDDR5, 1TB SSD storage, 16GB RAM, ABC7590-7565SLV-PUS","I’ve had it for a couple of months and had it “blue-screen” (locked up and initiate a forced reboot) a handful of times. Eventually, with some instruction from FusionTech tech support, it has came back up each time.<br /><br />Additionally, when using the built in display, and external display does not perform as well as expected.<br /><br />For an expensive laptop, it is too temperamental.<br /><br />I would not recommend purchasing it and would likely not recommend purchasing a FusionTech.<br /><br />UPDATE: After using for a wrap more months, I’ve learned that the Nvidia graphics controller only drives the built in video and external monitors are driven by a less powerful Intel graphics card. To me this matters because my intent for this “4K” laptop was to use a “4K” external monitor - which I also purchased when I bought this laptop. FusionTech should have made this clear or apparent in their advertising - all laptop manufacturers should clearly state the internal vs external display performance capability (distinctly and discretely).",3.0,screen,62.5,HIGH
28,B07D37XF5R,"FusionTech G3579-5958BLK G3 Gaming Laptop-15 FHD, 8th Gen Intel Quad Core i5-8300H CPU, 8GB RAM, 1TB HDD, Nvidia GeForce GTX 1050, Windows 10 Home, Black",Great product,5.0,general,20.0,LOW
29,B01N2RLP5M,"FusionTech ABC9560-5000SLV-PUS 15.6"" Ultra Thin and Light Laptop with 4K Touch Display, 7th Gen Core i5 ( up to 3.5 GHz), 8GB, 256GB SSD, Nvidia Gaming GTX 1050, Aluminum Chassis","Looks nice, well fun to use, nice screen, BUTTTTTTTTT,  the battery is notorious for deadening and not holding a charge and to top this off FusionTech won't send you a new on because they discontinued this battery.  You have to buy an after market one which will only work for . a few months.  FusionTech blew it with this one.  I may never buy FusionTech again, they cut corners.  Better hope yours is still under one year warranty.",2.0,battery,72.5,HIGH
30,B07T4HGF79,"FusionTech ABC 15 laptop 15.6"", 4K UHD InfinityEdge Touch, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1650 4GB GDDR5, 1TB SSD storage, 16GB RAM, ABC7590-7565SLV-PUS","I purchased this device to give me desktop capabilities in a mobile platform (read around the house and lab). It is too heavy and big to take on the road by me. I do see some people carrying larger devices on planes, trains, and Uber.  This machine is very fast and the screen is great. I have been able to not only develop software products but also design 3D printable (Fusion 360) objects with this device. Battery life for about 4 hours.  A good purchase",5.0,battery,42.5,MEDIUM
31,B015PYZX0C,"Advance AW13R2-8344SLV 13-Inch QHD+ Touchscreen Laptop (6th Generation Intel Core i7, 16 GB RAM, 256 GB SSD, NVIDIA GeForce GTX 960M,Windows 10 Home), Silver",Grandson loves it,5.0,general,20.0,LOW
32,B07CD3MRZF,"FusionTech G5587-7866BLK-PUS G5 15 5587 Gaming Laptop 15.6"" LED Display, 8th Gen Intel i7 Processor, 16GB Memory, 128GB SSD+1TB HDD, NVIDIA GeForce GTX 1050Ti, Licorice Black",Not bad.,4.0,general,30.0,MEDIUM
33,B07SLY46H2,"FusionTech ABC 15 7590 15.6"" Touchscreen Notebook - 3840 x 2160 - Core i9 i9-9980HK - 32 GB RAM - 1 TB SSD - Silver - Windows 10 Home 64-bit - NVIDIA GeForce GTX 1650 with 4 GB - in-Plane Switching (IP",Genial,5.0,general,20.0,LOW
34,B07R7XCZD7,"FusionTech G7 17 Gaming Laptop (Windows 10 Home, 9th Gen Intel Core i7-9750H, NVIDIA GTX 1660 Ti 6G, 17.3"" FHD LCD Screen, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS","Very nice but it does die fast.... when plugged in the games run smoother as well....usually I wouldn't like it to be plugged in all the time, other than that a beautifuly solid computer",4.0,general,70.0,HIGH
35,B07VK1M3YB,"Newest FusionTech G3 17.3"" FHD High Performance Gaming Laptop, Intel Quad Core i5-8300H up to 4.0GHz, 8GB RAM, 1TB HDD, NVIDIA GeForce GTX 1050 4GB GDDR5, Backlit Keyboard, Windows 10","I loved the laptop but the charger stopped charging and now it's not able to power on.  With the money spent on this laptop,  the charger should work",3.0,battery,95.0,CRITICAL
36,B07GRBN8GW,"FusionTech G5587 G5 15 5587 Laptop: Core i5-8300H Processor, 16GB RAM, NVidia GTX 1060, 256GB SSD+1TB HDD, 15.6"" Full HD",Runs awful unless you're plugged in charging at all times.<br />Audio jack sends out random static frequencies to headphones.,1.0,battery,100.0,CRITICAL
37,B01J0RJPCC,"FusionTech Worktop i7559-5012GRY 15.6"" UHD (3840x2160) 4k Touchscreen Laptop (Intel Quad Core i7-6700HQ, 8 GB RAM, 1 TB HDD) NVIDIA GeForce GTX 960M, Microsoft Signature Edition","For the first year or so this laptop was fine. I got it freshman year as a college laptop, with the added utility of having a gaming laptop. In terms of gaming, it isn't bad; it can drop in frames occasionally and can stutter a bit, but that may just be with age. The laptop gets VERY hot and loud, it is essentially a micro-heater. It isn't a bad laptop, but the durability of the case is what's the problem. About two years in, the chassis began pulling away from the base on the top corners. It wasn't a big deal at the moment until it began to run down the sides. Every time I opened the laptop, it would rip itself away from the base. I am currently hobbling it together, but if you are looking for a longlasting, durable laptop, look elsewhere.",3.0,overheating,55.0,HIGH
38,B07RCP7ZV8,"FusionTech G7 17 Gaming Laptop (Windows 10 Home, 9th Gen Intel Core i7-9750H, NVIDIA GTX 1660 Ti 6G, 17.3"" FHD LCD Screen, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS","Like it a lot, but battery life or lack there of is a problem for a serious gamer. Having to be tethered to a plug is kind of lousy. The games I play are graphics intense and the battery will only last a littl over 3 hours.",5.0,battery,67.5,HIGH
39,B07S4CNBYM,"FusionTech Worktop 15 7000, 15.6” FHD Display, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1050, 256 SSD HD, 8GB RAM (i7590-7865BLK-PUS)","Light weight and portable laptop. Build quality is good overall but screen seems delicate. Integrated battery claims 9 hr life but more realistic expectation is about 5 at mid-high brightness. Plenty of USB ports, including USB C. You can charge thru USB C but it took longer in my experience.<br /><br />8 GB RAM is not a lot but it does handle heavy CPU loads well. I have read that RAM is expandable on this model but I haven't installed more at time of writing. It will run small files on Solidworks or Excel easily but will stutter with large files as expected. Movie playback is smooth on main monitor and external monitor with/without desktop stretching. The fan runs a lot and will be audible in quiet spaces such as a library but is not disruptive. I hate the offset trackpad but others might not. Keyboard backlight has 3 settings (off, medium, max).<br /><br />Speakers sound good but have no low end. Loud if desired. I recommend uninstalling FusionTech's proprietary audio software and indeed all of the FusionTech bloatware except for FusionTech updater. On a related note, it ran a BIOS update after about 20 hours of use so hopefully that was normal because otherwise it's unsettling.<br /><br />I have not had any hardware or OS issues. On low quality, GTAV averages mid-upper 30's fps steady. Maxed out, Overwatch averages upper 40's fps with occasional dips to 30's. Lagspikes on all games if you use Gamebar. Keyboard response is good for gaming, not mushy at least for now.",4.0,overheating,52.5,HIGH
40,B07N82R4XZ,"FusionTech ABC 15 9570-8th Generation Intel Core i7-8750H Processor, 4k Touchscreen display, 16GB DDR4 2666MHz RAM, 512GB SSD, NVIDIA GeForce GTX 1050Ti, Windows 10 Home, Gaming Capable","I Just Bought a bran New FusionTech ABC  Windows 10, top of the line, sound doesn't work at all, i connected 4 different Speakers old and new, also tried to connect Bluetooth Audio Devices, you name it nothing works.<br />I don't recommend this computer.<br />Also The CD tray is very cheap in quality, i placed a CD inside the tray and got stuck inside, took long time to take it out.<br />Don't buy this Brand, I am very disappointed.",1.0,build_quality,100.0,CRITICAL
41,B07FZFGB5V,"FusionTech ABC 15 9570 15.6"" 4K UHD TouchScreen Laptop: Core i7-8750H, 32GB RAM, 1TB SSD, NVIDIA GTX 1050Ti, Backlit Keyboard, Fingerprint Reader, Windows 10","So I dropped $2K on this at Best Buy and am now returning it for a full refund.  During the (laborious) attempt to set it up, I quickly noted the LACK of a ""num lock"" section of the keyboard.  Excuse me FusionTech, but I use this section dozens of times EVERY SINGLE DAY typing up reports in my business software.  Its NOT optional!!!!  I swore I would NEVER buy another FusionTech in 2015 when a SINGLE DROP of mineral water landing on the keypad burned out the motherboard.  (Contrast that with my old Gateway laptop that once took an ENTIRE 64 oz diet soda into the keyboard, dried out, and kept on working!)  Well I went back on that vow when I bought this laptop.  I should have stuck with my gut - NO. MORE. FusionTechS. EVER!",1.0,overheating,100.0,CRITICAL
42,B07TVHTMWG,"FusionTech ABC 15 7590 15.6 Inch 4K UHD Touch-Screen 1TB SSD i9 32GB RAM Gaming Laptop (3840 x 2160 Display, Intel 8-Core i9-9980HK, NVIDIA GTX 1650, Windows 10 Home) Silver","I needed to replace my laptop, did not want to spend a fortune.  Use it for email, Internet searches, and photo storage.<br />Works as described.  I was just disappointed in how cheap looking this is.  When I opened it and looked at the keyboard it very much reminded me of a childs' toy.  It looks like cheap plastic, which is what it is.  I've bought other laptops in this price range before, but none have been as tacky looking as this one.  It looks MUCH better in the photographs than it does in reality.",3.0,overheating,62.5,HIGH
43,B07N82R4XZ,"FusionTech ABC 15 9570-8th Generation Intel Core i7-8750H Processor, 4k Touchscreen display, 16GB DDR4 2666MHz RAM, 512GB SSD, NVIDIA GeForce GTX 1050Ti, Windows 10 Home, Gaming Capable","Liked it didn't love it, I need to LOVE it for this kind of money. Also it had non-factory tape on the box and when I took it out the to of the machine was dirty (even though in plastic adhesive wrap) very disappointed but I think FusionTech may be to blame after some research",3.0,build_quality,100.0,CRITICAL
44,B07XKYPZ8P,"FusionTech G3 15.6"" Full HD Gaming Laptop, 8th Gen Intel Core i5-8300H, 8GB Memory, 1TB Hard Drive, NVIDIA GeForce GTX 1060 6GB, Windows 10","The laptop is as described, has excellent performance and is aesthetically fine. What I did not like is that the RAM has a total of 8Gb but is divided into two modules of 4Gb each<br /><br />I recommend installing 2 modules of ram DRR4 8Gb at 2666mhz (supports 2400mhz but I do not recommend them because the documentation says specifically at the speed ) and buy a m2, which has to be nvme according to technical specifications, it is an investment so that the laptop fits perfectly",5.0,performance,42.5,MEDIUM
45,B07S4CNBYM,"FusionTech Worktop 15 7000, 15.6” FHD Display, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1050, 256 SSD HD, 8GB RAM (i7590-7865BLK-PUS)",This cooling fan was running constantly and was obnoxiously loud.  I could not use it in class.  The processor was nice but the cooling system was not up to the job.,3.0,overheating,47.5,MEDIUM
46,B07T1DTF4F,"FusionTech - ABC7590-7572SLV-PUS ABC 15 7590 Laptop 15.6 inch, 4K UHD OLED InfinityEdge, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1650 4GB GDDR5, 256GB SSD, 16GB RAM, Windows 10 Home, ABC7590-7572SLV-PUS, 15-15.99 inches Silver","Good laptop , battery life and display is good",5.0,battery,35.0,MEDIUM
47,B015PYZWC6,"Advance AW15R2-8469SLV 15.6-Inch UHD Laptop (6th Generation Intel Core i7, 16 GB RAM, 1 TB HDD + 256 GB SATA SSD) NVIDIA GeForce GTX 970M, Microsoft Signature Edition, Windows 10 Home), Silver",The memory is limited for my needs.  I could only store two online games in memory.  The PC came with the customer support already expired.,5.0,performance,42.5,MEDIUM
48,B07PZQ9LSN,"FusionTech Worktop 15 5000 Laptop, 15.6-Inch FHD (1920 X 1080) IPS, Intel i7-8565, Nvidia(R) Geforce(R) MX250 with 2GB Gddr, 8GB DDR4 RAM, 128 GB SSD+1TB HD","The specs were good for the price, but that only counts if the machine functions properly. The touch pad was dysfunctional from the get-go. I tried adjusting the appropriate settings, and doing other things recommended on different forums; all to no avail. Within 2 days of ownership, the sound stopped working; both speakers and headphone output. I did a reset which resolved the problem for a few days. When it happened again, I boxed it up and sent it back.",2.0,value,97.5,CRITICAL
49,B07RCP7ZV8,"FusionTech G7 17 Gaming Laptop (Windows 10 Home, 9th Gen Intel Core i7-9750H, NVIDIA GTX 1660 Ti 6G, 17.3"" FHD LCD Screen, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS","I need super graphics ability for animations in Blender, the 3D authoring and animation software.  This does it in spades!  I render at at least 20 times what I used to do with an HP 4000 graphics chip.  You will need to keep it plugged in for the NVidia chip to work, however.  The fans will whine, but you'll be blown away with the performance.<br />As a licensed pilot, I also fly X-Plane, and this machine has what it takes to get a frame rate up in the 40s.  Be sure to get the latest NVidia driver, though.  When it arrived, it kept crashing until I loaded the latest driver.",5.0,overheating,42.5,MEDIUM
50,B07BXG7725,"FusionTech Gaming Laptop - 15"" FHD, 8th Gen Intel Core i7-8750H CPU, 16GB RAM, 256GB SSD+1TB HDD, NVIDIA GeForce GTX 1050TI, Windows 10 Home, Black - G3579-7989BLK-PUS",This has been a very good laptop! Highly recommended,5.0,general,20.0,LOW
51,B06XFGDD8P,"FusionTech i5577-5335BLK-PUS Worktop 15"" Full HD Gaming Laptop - 7th Gen Intel Core i5-8GB Memory - 256GB SSD - NVIDIA GeForce GTX 1050 - Black",Lasted about 2.5 years with it before I decided to upgrade. It did me well when I first got it but became worse and worse over time. The screen is pretty bad but I could live with it. I wasn’t super careful with mine and never had any integrity problems like other reviewers but it did start blue screening after about 2 years. Had to drop the graphics on a lot of my games just to keep up with it. Eventually the mouse stopped working until I would curl-alt-del to get it back clicking. Never found a fix so I just stopped caring and would do the process lol. My first ever big boy Purchase after graduating from boot camp. Only reason I still even remotely like it is because of nostalgia. Wish I would’ve gone with another laptop but it is what it is. I don’t expect anyone to buy this in 2020 lol.,4.0,screen,52.5,HIGH
52,B07CD3MRZF,"FusionTech G5587-7866BLK-PUS G5 15 5587 Gaming Laptop 15.6"" LED Display, 8th Gen Intel i7 Processor, 16GB Memory, 128GB SSD+1TB HDD, NVIDIA GeForce GTX 1050Ti, Licorice Black",Good for gaming and graphics,5.0,general,20.0,LOW
53,B07QD37WD4,"FusionTech ABC9570-5632SLV-PUS 15.6"" Traditional Laptop (Silver) 8th Gen i5-8300H Processor-Win 10 Home-8GB Memory-256GB SSD HD-Backlit Keyboard-6 Cell Battery; NVIDIA GeForce GTX 1050 with 4GB GDDR5",Great item!I love it!,5.0,general,20.0,LOW
54,B07FZFGB5V,"FusionTech ABC 15 9570 15.6"" 4K UHD TouchScreen Laptop: Core i7-8750H, 32GB RAM, 1TB SSD, NVIDIA GTX 1050Ti, Backlit Keyboard, Fingerprint Reader, Windows 10",Unfortunately I would never purchase from this company again. Anytime you sell a product you should sell it with the known hardware installed so that you can get started. After hours spent on the phone with FusionTech support we were finally able to get the computer running. This should never have had to take place. This computer literally had nothing on it it wouldn’t even recognize my Wi-Fi let alone run any program?  This is on the seller who sold the product without any drivers installed?,5.0,performance,82.5,CRITICAL
